PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=270 ttl=64 time=167 ms
64 bytes from 10.0.0.8: icmp_seq=271 ttl=64 time=164 ms
64 bytes from 10.0.0.8: icmp_seq=272 ttl=64 time=200 ms
64 bytes from 10.0.0.8: icmp_seq=273 ttl=64 time=186 ms
64 bytes from 10.0.0.8: icmp_seq=274 ttl=64 time=190 ms
64 bytes from 10.0.0.8: icmp_seq=275 ttl=64 time=187 ms
64 bytes from 10.0.0.8: icmp_seq=276 ttl=64 time=214 ms
64 bytes from 10.0.0.8: icmp_seq=277 ttl=64 time=207 ms
64 bytes from 10.0.0.8: icmp_seq=278 ttl=64 time=176 ms
64 bytes from 10.0.0.8: icmp_seq=279 ttl=64 time=184 ms
64 bytes from 10.0.0.8: icmp_seq=280 ttl=64 time=357 ms
64 bytes from 10.0.0.8: icmp_seq=281 ttl=64 time=320 ms
64 bytes from 10.0.0.8: icmp_seq=282 ttl=64 time=226 ms
64 bytes from 10.0.0.8: icmp_seq=283 ttl=64 time=234 ms
64 bytes from 10.0.0.8: icmp_seq=284 ttl=64 time=299 ms
64 bytes from 10.0.0.8: icmp_seq=285 ttl=64 time=267 ms
64 bytes from 10.0.0.8: icmp_seq=286 ttl=64 time=281 ms
64 bytes from 10.0.0.8: icmp_seq=287 ttl=64 time=237 ms
64 bytes from 10.0.0.8: icmp_seq=288 ttl=64 time=245 ms
64 bytes from 10.0.0.8: icmp_seq=289 ttl=64 time=224 ms
64 bytes from 10.0.0.8: icmp_seq=290 ttl=64 time=224 ms
64 bytes from 10.0.0.8: icmp_seq=291 ttl=64 time=228 ms
64 bytes from 10.0.0.8: icmp_seq=292 ttl=64 time=269 ms
64 bytes from 10.0.0.8: icmp_seq=293 ttl=64 time=247 ms
64 bytes from 10.0.0.8: icmp_seq=294 ttl=64 time=250 ms
64 bytes from 10.0.0.8: icmp_seq=295 ttl=64 time=285 ms
64 bytes from 10.0.0.8: icmp_seq=296 ttl=64 time=265 ms
64 bytes from 10.0.0.8: icmp_seq=297 ttl=64 time=252 ms
64 bytes from 10.0.0.8: icmp_seq=298 ttl=64 time=247 ms
64 bytes from 10.0.0.8: icmp_seq=299 ttl=64 time=213 ms
64 bytes from 10.0.0.8: icmp_seq=300 ttl=64 time=295 ms
64 bytes from 10.0.0.8: icmp_seq=301 ttl=64 time=305 ms
64 bytes from 10.0.0.8: icmp_seq=302 ttl=64 time=238 ms
64 bytes from 10.0.0.8: icmp_seq=303 ttl=64 time=255 ms
64 bytes from 10.0.0.8: icmp_seq=304 ttl=64 time=257 ms
64 bytes from 10.0.0.8: icmp_seq=305 ttl=64 time=257 ms
64 bytes from 10.0.0.8: icmp_seq=306 ttl=64 time=281 ms
64 bytes from 10.0.0.8: icmp_seq=307 ttl=64 time=238 ms
64 bytes from 10.0.0.8: icmp_seq=308 ttl=64 time=243 ms
64 bytes from 10.0.0.8: icmp_seq=309 ttl=64 time=204 ms
64 bytes from 10.0.0.8: icmp_seq=310 ttl=64 time=230 ms
64 bytes from 10.0.0.8: icmp_seq=311 ttl=64 time=204 ms
64 bytes from 10.0.0.8: icmp_seq=312 ttl=64 time=184 ms
64 bytes from 10.0.0.8: icmp_seq=313 ttl=64 time=217 ms
64 bytes from 10.0.0.8: icmp_seq=314 ttl=64 time=167 ms
64 bytes from 10.0.0.8: icmp_seq=315 ttl=64 time=198 ms
64 bytes from 10.0.0.8: icmp_seq=316 ttl=64 time=207 ms
64 bytes from 10.0.0.8: icmp_seq=317 ttl=64 time=183 ms
64 bytes from 10.0.0.8: icmp_seq=318 ttl=64 time=175 ms
64 bytes from 10.0.0.8: icmp_seq=319 ttl=64 time=136 ms
64 bytes from 10.0.0.8: icmp_seq=320 ttl=64 time=175 ms
64 bytes from 10.0.0.8: icmp_seq=321 ttl=64 time=159 ms
64 bytes from 10.0.0.8: icmp_seq=322 ttl=64 time=154 ms
