PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=667 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=715 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=745 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=752 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=678 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=696 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=635 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=662 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=643 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=665 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=680 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=679 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=684 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=695 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=692 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=645 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=590 ms
